name,funding_total_usd,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
InfoNow,25661688.0,USA,San Francisco,7,2007-10-18,2013-02-19,2012,1,Software,1
Zeitera Corporation,13000000.0,USA,Sunnyvale,1,2006-04-15,2006-04-15,2006,1,Content,1
Nalace Corporation,19000.0,USA,Lawrenceville,1,2012-04-19,2012-04-19,2012,0,E-Commerce,0
Caspian Learning,4450000.0,GBR,San Francisco,2,2005-04-04,2008-06-23,2012,1,Software,1
quitchen,100000.0,USA,Chicago,1,2013-02-04,2013-02-04,2012,1,E-Commerce,0
Vputi,50000.0,RUS,Krasnoyarsk,1,2013-03-08,2013-03-08,2012,0,Consumers,0
RealTimeImage,,USA,San Bruno,1,1999-11-30,1999-11-30,2012,1,Software,3
AdWerx,1200000.0,USA,Durham,1,2015-02-06,2015-02-06,2013,1,Real Estate,1
GQ Life Sciences,11200000.0,USA,Boston,3,2005-11-01,2009-12-16,2001,1,Software,1
3D Biomatrix,1465000.0,USA,Ann Arbor,2,2009-10-05,2013-02-05,2010,1,Biotechnology,1
Calxeda,131750000.0,USA,Austin,5,2010-08-16,2012-10-09,2008,1,Application Platforms,2
Radialogica,1349142.0,USA,Clarkton,1,2013-02-26,2013-02-26,2011,1,Software,1
DeRev,1530625.0,ITA,Naples,2,2012-08-03,2014-03-20,2012,1,Crowdfunding,1
Rivono,,USA,Glendale,1,2012-06-29,2012-06-29,2012,0,Games,3
Lumenpulse,16000000.0,CAN,Montréal,1,2011-08-08,2011-08-08,2006,2,Manufacturing,1
Quanttus,22000000.0,USA,Cambridge,2,2013-01-01,2014-02-24,2012,1,Health and Wellness,1
BizAnytime,2000000.0,USA,Tucson,1,2013-07-23,2013-07-23,2013,1,Chat,1
"TeleStax, Inc.",809911.0,USA,Austin,1,2015-10-02,2015-10-02,2011,1,Enterprise Software,0
Sparkit Media Inc.,48000.0,CAN,Vancouver,1,2013-10-24,2013-10-24,2013,1,Curated Web,0
Ensogo,41600000.0,THA,Bangkok,4,2010-07-01,2015-04-20,2009,2,E-Commerce,1
ThriveHive,4000000.0,USA,Cambridge,3,2012-06-27,2015-08-15,2011,1,Advertising,1
StrongDM,800000.0,USA,New York,1,2015-05-11,2015-05-11,2012,1,Software,0
Teqcycle,,USA,San Francisco,1,2014-02-06,2014-02-06,2013,1,Mobile,3
Pop.it,,ITA,Florence,1,2013-05-10,2013-05-10,2012,1,Software,3
Red Ventures,250000000.0,USA,Fort Mill,3,2010-08-12,2015-01-07,2000,1,Advertising,2
Broex.in,1000000.0,IND,Haryana,1,2015-07-24,2015-07-24,2014,1,Apps,0
Project Hi-Fi,300000.0,USA,San Francisco,1,2006-11-20,2006-11-20,2006,0,Software,0
WoofRadar,400000.0,USA,San Francisco,1,2013-09-01,2013-09-01,2013,0,Pets,0
Cuturia,200000.0,USA,Los Angeles,1,2012-03-01,2012-03-01,2012,0,Fashion,0
EnStorage,17950000.0,ISR,Yavne,6,2008-01-30,2014-01-30,2007,1,Clean Technology,1
GIS Cloud,,GBR,London,2,2010-01-01,2010-09-16,2008,1,Cloud Computing,3
PowWow Energy,3000000.0,USA,San Francisco,1,2015-06-15,2015-06-15,2013,1,Big Data,1
Kilopass,42450000.0,USA,Santa Clara,5,2004-01-18,2013-03-05,2001,1,Semiconductors,1
Radisphere Radiology,42500005.0,USA,Westport,2,2010-11-16,2012-03-19,2001,1,Biotechnology,1
Vantage Point Analytics,1600000.0,USA,San Francisco,1,2014-11-13,2014-11-13,2012,1,Manufacturing,1
Genelux,481268.0,USA,San Diego,1,2012-06-06,2012-06-06,2012,1,Biotechnology,0
eCORP,40000000.0,USA,Houston,1,2008-01-16,2008-01-16,2012,1,Energy,1
Zebra Mobile,,USA,San Francisco,1,2008-05-01,2008-05-01,2012,1,Software,3
Dentalink,290000.0,CHL,Santiago,2,2011-12-16,2012-10-01,2009,1,SaaS,0
Hongdianzhibo,,USA,San Francisco,1,2013-12-01,2013-12-01,2012,1,Mobile,3
eDreams Edusoft,2000000.0,IND,Bangalore,1,2013-05-29,2013-05-29,2010,1,Software,1
Allegheny General Hospital,1415000.0,USA,Chicago,2,2014-01-21,2014-03-24,2012,1,Health Care,1
Selventa,12000000.0,USA,Cambridge,3,2003-09-08,2011-11-29,2001,1,Biotechnology,1
